Date,Open
0,16.0098
1,16.029301
2,16.205
3,15.9121
4,15.8536
5,15.7755
6,14.7251
7,14.4478
8,14.2135
9,14.9164
10,14.6079
11,14.4478
12,14.4478
13,13.5927
14,13.374
15,13.3662
16,13.5966
17,12.8625
18,12.5032
19,12.364575
20,11.9487
21,13.3545
22,13.9793
23,13.6669
24,14.7407
25,16.790701000000002
26,17.6537
27,14.9203
28,16.2519
29,18.118401000000002
30,18.0403
31,17.1812
32,18.8603
33,17.9622
34,17.806
35,18.118401000000002
36,17.9622
37,17.6888505
38,17.415501000000003
39,17.8841
40,17.9231
41,17.8685
42,17.903601000000002
43,17.493601
44,16.673599
45,16.712601
46,16.732149999999997
47,16.751699
48,17.290501000000003
49,16.986
50,16.868799
51,17.1422
52,17.571699
53,17.7279
54,17.645901000000002
55,16.9821
56,16.3221
57,16.16595
58,16.0098
59,16.1621
60,16.005899
61,15.6193
62,16.166
63,16.205
64,16.353399
65,16.224501
66,16.3417
67,16.716499
68,16.3221
69,16.36605
70,16.4979
71,16.7712
72,16.790701000000002
73,16.4198
74,16.4042
75,17.1812
76,17.3374
77,17.806
78,18.625999
79,19.2117
80,19.367901
81,18.395599
82,19.2976
83,20.070801
84,18.8993
85,18.8993
86,18.8993
87,20.8517
88,20.6175
89,20.613501
90,19.8365
91,19.153098999999997
92,19.0555
93,19.153098999999997
94,18.586901
95,19.094601
96,19.2117
97,19.4655
98,20.0513
99,19.524099
100,19.289801
101,18.8134
102,19.0555
103,18.8368
104,18.985201
105,18.821199
106,18.0403
107,18.200398999999997
108,18.9774
109,18.762698999999998
110,18.9774
111,19.520201
112,19.1336
113,19.0516
114,18.829
115,19.0165
116,18.821199
117,19.0555
118,19.0165
119,19.0555
120,19.231199
121,18.821199
122,18.4307
123,17.7279
124,17.798201000000002
125,17.267098999999998
126,17.3374
127,17.0016
128,16.4198
129,17.025
130,16.482201
131,16.314301
132,15.7364
133,14.6236
134,14.975
135,14.9125
136,14.6079
137,13.5107
138,13.9402
139,13.7059
140,13.1983
141,15.6193
142,16.3221
143,17.4897
144,18.2316
145,18.3526
146,19.367901
147,18.3566
148,16.853201000000002
149,16.166
150,16.4666
151,16.33
152,16.243999
153,17.021099
154,16.337799
155,16.134701
156,15.8536
